19:24:35.514140 exec-cmd.c:266          trace: resolved executable dir: C:/Program Files/Git/mingw64/bin
19:24:35.582706 git.c:502               trace: built-in: git push origin main
19:24:35.608380 run-command.c:674       trace: run_command: GIT_DIR=.git git remote-https origin https://github.com/assetlyjp-hub/japanese-knife-archive.git
19:24:35.608380 run-command.c:935       trace: start_command: git remote-https origin https://github.com/assetlyjp-hub/japanese-knife-archive.git
19:24:35.679808 exec-cmd.c:266          trace: resolved executable dir: C:/Program Files/Git/mingw64/libexec/git-core
19:24:35.712012 git.c:809               trace: exec: git-remote-https origin https://github.com/assetlyjp-hub/japanese-knife-archive.git
19:24:35.712012 run-command.c:674       trace: run_command: git-remote-https origin https://github.com/assetlyjp-hub/japanese-knife-archive.git
19:24:35.712012 run-command.c:935       trace: start_command: git-remote-https origin https://github.com/assetlyjp-hub/japanese-knife-archive.git
19:24:35.781546 exec-cmd.c:266          trace: resolved executable dir: C:/Program Files/Git/mingw64/libexec/git-core
19:24:35.812934 http.c:915              == Info: Could not find host github.com in the .netrc file; using defaults
19:24:35.828575 http.c:915              == Info: Host github.com:443 was resolved.
19:24:35.828575 http.c:915              == Info: IPv6: (none)
19:24:35.828575 http.c:915              == Info: IPv4: 20.27.177.113
19:24:35.828575 http.c:915              == Info:   Trying 20.27.177.113:443...
19:24:35.848174 http.c:915              == Info: schannel: disabled automatic use of client certificate
19:24:35.848174 http.c:915              == Info: ALPN: curl offers http/1.1
19:24:35.860760 http.c:915              == Info: ALPN: server accepted http/1.1
19:24:35.860760 http.c:915              == Info: Established connection to github.com (20.27.177.113 port 443) from 192.168.0.189 port 64491 
19:24:35.860760 http.c:915              == Info: using HTTP/1.x
19:24:35.860760 http.c:862              => Send header, 0000000218 bytes (0x000000da)
19:24:35.860760 http.c:874              => Send header: GET /assetlyjp-hub/japanese-knife-archive.git/info/refs?service=git-receive-pack HTTP/1.1
19:24:35.860760 http.c:874              => Send header: Host: github.com
19:24:35.860760 http.c:874              => Send header: User-Agent: git/2.53.0.windows.1
19:24:35.860760 http.c:874              => Send header: Accept: */*
19:24:35.860760 http.c:874              => Send header: Accept-Encoding: deflate, gzip, br, zstd
19:24:35.860760 http.c:874              => Send header: Pragma: no-cache
19:24:35.860760 http.c:874              => Send header:
19:24:35.860760 http.c:915              == Info: Request completely sent off
19:24:35.876440 http.c:915              == Info: schannel: remote party requests renegotiation
19:24:35.876440 http.c:915              == Info: schannel: renegotiating SSL/TLS connection
19:24:35.876440 http.c:915              == Info: schannel: SSL/TLS connection renegotiated
19:24:35.876440 http.c:915              == Info: schannel: remote party requests renegotiation
19:24:35.876440 http.c:915              == Info: schannel: renegotiating SSL/TLS connection
19:24:35.876440 http.c:915              == Info: schannel: SSL/TLS connection renegotiated
19:24:36.049637 http.c:862              <= Recv header, 0000000027 bytes (0x0000001b)
19:24:36.049637 http.c:874              <= Recv header: HTTP/1.1 401 Unauthorized
19:24:36.049637 http.c:862              <= Recv header, 0000000026 bytes (0x0000001a)
19:24:36.049637 http.c:874              <= Recv header: Server: GitHub-Babel/3.0
19:24:36.049637 http.c:862              <= Recv header, 0000000054 bytes (0x00000036)
19:24:36.049637 http.c:874              <= Recv header: Content-Security-Policy: default-src 'none'; sandbox
19:24:36.049637 http.c:862              <= Recv header, 0000000041 bytes (0x00000029)
19:24:36.049637 http.c:874              <= Recv header: Content-Type: text/plain; charset=UTF-8
19:24:36.049637 http.c:862              <= Recv header, 0000000040 bytes (0x00000028)
19:24:36.049637 http.c:874              <= Recv header: www-authenticate: Basic realm="GitHub"
19:24:36.049637 http.c:862              <= Recv header, 0000000020 bytes (0x00000014)
19:24:36.049637 http.c:874              <= Recv header: Content-Length: 26
19:24:36.049637 http.c:862              <= Recv header, 0000000037 bytes (0x00000025)
19:24:36.049637 http.c:874              <= Recv header: Date: Mon, 20 Apr 2026 10:24:35 GMT
19:24:36.049637 http.c:862              <= Recv header, 0000000023 bytes (0x00000017)
19:24:36.049637 http.c:874              <= Recv header: X-Frame-Options: DENY
19:24:36.049637 http.c:862              <= Recv header, 0000000073 bytes (0x00000049)
19:24:36.049637 http.c:874              <= Recv header: Strict-Transport-Security: max-age=31536000; includeSubDomains; preload
19:24:36.049637 http.c:862              <= Recv header, 0000000059 bytes (0x0000003b)
19:24:36.049637 http.c:874              <= Recv header: X-GitHub-Request-Id: 078A:36B5A2:24932EA:2D4D0BA:69E5FEE3
19:24:36.049637 http.c:862              <= Recv header, 0000000002 bytes (0x00000002)
19:24:36.049637 http.c:874              <= Recv header:
19:24:36.049637 http.c:915              == Info: Connection #0 to host github.com:443 left intact
19:24:36.049637 run-command.c:674       trace: run_command: 'git credential-manager get'
